Last Run,Task Link,Search Results URL on Google Maps,Max Results,Position,Title,Rating,Review,Information,Link
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,1,Sunset Grill,4.5,755.0,"Restaurant · 1601 Hockett Rd
Casual chophouse with outdoor seating
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/Sunset+Grill/data=!4m7!3m6!1s0x89b142757d338c9f:0x67aaaefb483dc9dd!8m2!3d37.6685187!4d-77.6787335!16s%2Fg%2F1ttyxm1y!19sChIJn4wzfXVCsYkR3ck9SPuuqmc?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,2,BJ's Restaurant &amp; Brewhouse,4.0,1261.0,"Restaurant · 12010 W Broad St
Chain for pub grub & house-brewed beer
Open ⋅ Closes 11 PM",https://www.google.com/maps/place/BJ%27s+Restaurant+%26+Brewhouse/data=!4m7!3m6!1s0x89b16a734c047189:0x1ece4f4a8b5db291!8m2!3d37.6577097!4d-77.6293145!16s%2Fg%2F11bbwjd7x4!19sChIJiXEETHNqsYkRkbJdi0pPzh4?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,3,Mama Cucina | Italian Restaurant,4.6,764.0,"Italian · 4028-O, Cox Rd
Veteran spot for homemade pasta & more
Open ⋅ Closes 2:30 PM ⋅ Reopens 5 PM",https://www.google.com/maps/place/Mama+Cucina+%7C+Italian+Restaurant/data=!4m7!3m6!1s0x89b16abd3a050e3f:0x34486f305d477a3a!8m2!3d37.6479624!4d-77.5839982!16s%2Fg%2F11xbnbw_p!19sChIJPw4FOr1qsYkROnpHXTBvSDQ?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,4,Bonefish Grill,4.3,1416.0,"Seafood · 11251 W Broad St
Modern chain for seafood & steak
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/Bonefish+Grill/data=!4m7!3m6!1s0x89b16a88b11eb2dd:0x54eb842d40990b1!8m2!3d37.6490274!4d-77.6025159!16s%2Fg%2F1th5_p86!19sChIJ3bIesYhqsYkRsZAJ1EK4TgU?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,5,Zorbas Greek Italian Cuisine,4.5,521.0,"Mediterranean · 9068 W Broad St
Greek & Italian fare in a modern setting
Open ⋅ Closes 2:30 PM ⋅ Reopens 4:30 PM",https://www.google.com/maps/place/Zorbas+Greek+Italian+Cuisine/data=!4m7!3m6!1s0x89b11547b7565d31:0x9d365d65a0bf742a!8m2!3d37.6371378!4d-77.549092!16s%2Fg%2F1tlvqdmc!19sChIJMV1Wt0cVsYkRKnS_oGVdNp0?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,6,Melito's Restaurant,4.4,698.0,"American · 8815 Three Chopt Rd
Unfussy cafe supplying American eats
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Melito%27s+Restaurant/data=!4m7!3m6!1s0x89b114cd75761589:0xe07f2e32d8626324!8m2!3d37.602485!4d-77.55986!16s%2Fg%2F1tm1rbdg!19sChIJiRV2dc0UsYkRJGNi2DIuf-A?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,7,Casa Italiana Restaurant,4.5,695.0,"Italian · 8801 Three Chopt Rd B
Homey spot for traditional Italian eats
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/Casa+Italiana+Restaurant/data=!4m7!3m6!1s0x89b114cd7527d795:0xfe149f863df7d034!8m2!3d37.6026992!4d-77.5592498!16s%2Fg%2F11c54fn4cf!19sChIJldcndc0UsYkRNND3PYafFP4?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,8,Olive Garden Italian Restaurant,4.3,2001.0,"Italian · 11829 W Broad St
Family-friendly Italian restaurant chain
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/Olive+Garden+Italian+Restaurant/data=!4m7!3m6!1s0x89b16a71c8ca7271:0xf5749747e0a36cb8!8m2!3d37.6532305!4d-77.6221756!16s%2Fg%2F1hc23bpm8!19sChIJcXLKyHFqsYkRuGyj4EeXdPU?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,9,Cook Out,4.2,971.0,"Restaurant · 4245 Pouncey Tract Rd
Burgers & BBQ fast-food chain
Open ⋅ Closes 3 AM",https://www.google.com/maps/place/Cook+Out/data=!4m7!3m6!1s0x89b16a7cfef8f0b3:0xd1f167e8fc848137!8m2!3d37.6539256!4d-77.6105012!16s%2Fg%2F11f1zllx36!19sChIJs_D4_nxqsYkRN4GE_Ohn8dE?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,10,Burgerworks,4.5,1050.0,"Hamburger · 10321 W Broad St
Simple outpost for made-to-order burgers
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Burgerworks/data=!4m7!3m6!1s0x89b16abb66841de1:0xe6c4d3775f9c40d5!8m2!3d37.6456361!4d-77.5788111!16s%2Fg%2F1v6p54z3!19sChIJ4R2EZrtqsYkR1UCcX3fTxOY?authuser=0&hl=en&rclk=1
